date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:20	169633/169633	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2011:01:10%20GMT	https://www.250-mercer.ltd/files/Elledge_181012_3465_CIT.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/Elledge_181012_3465_CIT.jpg	(from https://www.250-mercer.ltd/?a=cust&page=stocks)
12:03:20	64141/64141	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2011:01:22%20GMT	https://www.250-mercer.ltd/files/multi-1.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/multi-1.jpg	(from https://www.250-mercer.ltd/?a=cust&page=multi-asset)
12:03:21	165023/165023	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2011:01:22%20GMT	https://www.250-mercer.ltd/files/sector-consumer-people-with-shopping-bags-1024x650.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/sector-consumer-people-with-shopping-bags-1024x650.jpg	(from https://www.250-mercer.ltd/?a=cust&page=multi-asset)
12:03:21	45800/45800	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:19%20GMT	https://www.250-mercer.ltd/?a=cust&page=fixed-income	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index32e4.html	(from https://www.250-mercer.ltd/)
12:03:22	45768/45768	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2011:01:22%20GMT	https://www.250-mercer.ltd/files/multi-2.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/multi-2.jpg	(from https://www.250-mercer.ltd/?a=cust&page=multi-asset)
12:03:22	12171/12171	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:21%20GMT	https://www.250-mercer.ltd/?a=signup	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/indexcca3.html	(from https://www.250-mercer.ltd/?a=cust&page=plan)
12:03:22	25653/25653	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:21%20GMT	https://www.250-mercer.ltd/?a=cust&page=nfp	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/indexc3dc.html	(from https://www.250-mercer.ltd/)
12:03:22	100606/100606	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2011:09:48%20GMT	https://www.250-mercer.ltd/files/financial-planning.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/financial-planning.jpg	(from https://www.250-mercer.ltd/?a=cust&page=financial-planning)
12:03:22	1801/1801	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Sep%202021%2012:12:08%20GMT	https://www.250-mercer.ltd/files/5ac518d6cbd0214a196a36a7_cardiograma.svg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/5ac518d6cbd0214a196a36a7_cardiograma.svg	(from https://www.250-mercer.ltd/?a=cust&page=financial-planning)
12:03:23	1707/1707	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2017%20Sep%202021%2012:12:08%20GMT	https://www.250-mercer.ltd/files/5acbbd7f5edee844570db9ba_cardiograma%20(2).svg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/5acbbd7f5edee844570db9ba_cardiograma%20(2).svg	(from https://www.250-mercer.ltd/?a=cust&page=financial-planning)
12:03:23	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:03:23%20GMT	https://www.250-mercer.ltd/index-a=support.html	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index-a=support.html	(from https://www.250-mercer.ltd/?a=support)
12:03:23	17534/17534	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:22%20GMT	https://www.250-mercer.ltd/?a=cust&page=property	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/indexf8ac.html	(from https://www.250-mercer.ltd/)
12:03:23	351878/351878	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:13:26%20GMT	https://www.250-mercer.ltd/files/aboutembed5.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/aboutembed5.jpg	(from https://www.250-mercer.ltd/?a=support)
12:03:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:03:23%20GMT	https://www.250-mercer.ltd/index.html	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index-3.html	(from https://www.250-mercer.ltd/?a=login)
12:03:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:03:23%20GMT	https://www.250-mercer.ltd/vcf-abt-thumbnail.png	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/vcf-abt-thumbnail.png	(from https://www.250-mercer.ltd/)
12:03:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:03:23%20GMT	https://www.250-mercer.ltd/vcf_abt.mp4	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/vcf_abt.mp4	(from https://www.250-mercer.ltd/)
12:03:30	1370/1370	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:23%20GMT	https://www.250-mercer.ltd/?a=forgot_password	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index8083.html	(from https://www.250-mercer.ltd/?a=login)
12:03:33	127467/127467	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/Elledge_170908_3399.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/Elledge_170908_3399.jpg	(from https://www.250-mercer.ltd/)
12:03:34	51679/51679	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:03:30%20GMT	https://www.250-mercer.ltd/?a=cust&page=alternatives	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index2005.html	(from https://www.250-mercer.ltd/)
12:03:34	1411235/1411235	UR-M--	200	added ('Partial%20Content')	image/png	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/LDI.png	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/LDI.png	(from https://www.250-mercer.ltd/)
12:03:34	183313/183313	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/business_planning.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/business_planning.jpg	(from https://www.250-mercer.ltd/)
